Date,open,high,low,close,adjclose,volume,ingested_at_utc
17-12-2020,209.3966675,219.6066742,206.5,218.6333313,218.6333313,168810300,2026-07-29 05:52:48.140356+00:00
18-12-2020,222.9666595,231.6666718,209.5133362,231.6666718,231.6666718,666378600,2026-07-29 05:52:48.140356+00:00
21-12-2020,222.0800018,222.8333282,215.3566742,216.6199951,216.6199951,174135900,2026-07-29 05:52:48.140356+00:00
22-12-2020,216.0,216.6266632,204.7433319,213.4466705,213.4466705,155148000,2026-07-29 05:52:48.140356+00:00
23-12-2020,210.7333374,217.1666718,207.5233307,215.3266602,215.3266602,99519000,2026-07-29 05:52:48.140356+00:00
24-12-2020,214.3300018,222.0299988,213.6666718,220.5899963,220.5899963,68596800,2026-07-29 05:52:48.140356+00:00
28-12-2020,224.8366699,227.1333313,220.2666626,221.2299957,221.2299957,96835800,2026-07-29 05:52:48.140356+00:00
29-12-2020,220.3333282,223.3000031,218.3333282,221.9966736,221.9966736,68732400,2026-07-29 05:52:48.140356+00:00
30-12-2020,224.0,232.1999969,222.7866669,231.593338,231.593338,128538000,2026-07-29 05:52:48.140356+00:00
31-12-2020,233.3300018,239.5733337,230.3733368,235.2233276,235.2233276,148949700,2026-07-29 05:52:48.140356+00:00
04-01-2021,239.8200073,248.1633301,239.0633392,243.2566681,243.2566681,145914600,2026-07-29 05:52:48.140356+00:00
05-01-2021,241.2200012,246.9466705,239.7333374,245.0366669,245.0366669,96735600,2026-07-29 05:52:48.140356+00:00
06-01-2021,252.8300018,258.0,249.6999969,251.9933319,251.9933319,134100000,2026-07-29 05:52:48.140356+00:00
07-01-2021,259.2099915,272.3299866,258.3999939,272.0133362,272.0133362,154496700,2026-07-29 05:52:48.140356+00:00
08-01-2021,285.3333435,294.8299866,279.4633179,293.3399963,293.3399963,225166500,2026-07-29 05:52:48.140356+00:00
11-01-2021,283.1333313,284.8099976,267.8733215,270.3966675,270.3966675,177904800,2026-07-29 05:52:48.140356+00:00
12-01-2021,277.0,289.3333435,275.7799988,283.1466675,283.1466675,138812100,2026-07-29 05:52:48.140356+00:00
13-01-2021,284.2533264,286.8233337,277.3333435,284.8033447,284.8033447,99937500,2026-07-29 05:52:48.140356+00:00
14-01-2021,281.1300049,287.6666565,279.5833435,281.6666565,281.6666565,93798900,2026-07-29 05:52:48.140356+00:00
15-01-2021,284.0,286.6333313,273.0333252,275.3866577,275.3866577,116332800,2026-07-29 05:52:48.140356+00:00
19-01-2021,279.2666626,283.3333435,277.6666565,281.5166626,281.5166626,76101000,2026-07-29 05:52:48.140356+00:00
20-01-2021,286.2466736,286.5,279.0933228,283.4833374,283.4833374,76997700,2026-07-29 05:52:48.140356+00:00
21-01-2021,285.0,285.2399902,280.4733276,281.6633301,281.6633301,61563300,2026-07-29 05:52:48.140356+00:00
22-01-2021,278.1033325,282.6666565,276.206665,282.2133179,282.2133179,60199500,2026-07-29 05:52:48.140356+00:00
25-01-2021,285.0,300.1333313,279.6066589,293.6000061,293.6000061,123520200,2026-07-29 05:52:48.140356+00:00
26-01-2021,297.1266785,298.6333313,290.5333252,294.3633423,294.3633423,69394800,2026-07-29 05:52:48.140356+00:00
27-01-2021,290.1166687,297.1666565,286.2200012,288.0533447,288.0533447,82002000,2026-07-29 05:52:48.140356+00:00
28-01-2021,273.3333435,282.6666565,267.0,278.4766541,278.4766541,79134000,2026-07-29 05:52:48.140356+00:00
29-01-2021,276.6666565,280.8033447,260.0333252,264.5100098,264.5100098,104972400,2026-07-29 05:52:48.140356+00:00
01-02-2021,271.4299927,280.6666565,265.186676,279.936676,279.936676,76174200,2026-07-29 05:52:48.140356+00:00
02-02-2021,281.5599976,293.5,280.7333374,290.9299927,290.9299927,73038600,2026-07-29 05:52:48.140356+00:00
03-02-2021,292.3399963,292.6933289,284.3533325,284.8966675,284.8966675,55030500,2026-07-29 05:52:48.140356+00:00
04-02-2021,285.0,285.5,277.8066711,283.3299866,283.3299866,47438100,2026-07-29 05:52:48.140356+00:00
05-02-2021,281.6666565,288.2566528,279.6566772,284.0766602,284.0766602,55699800,2026-07-29 05:52:48.140356+00:00
08-02-2021,289.8900146,292.5899963,284.9166565,287.8066711,287.8066711,60485100,2026-07-29 05:52:48.140356+00:00
09-02-2021,285.0400085,286.6000061,280.5833435,283.1533203,283.1533203,45473100,2026-07-29 05:52:48.140356+00:00
10-02-2021,281.2133179,281.6066589,266.6733398,268.2733459,268.2733459,108648300,2026-07-29 05:52:48.140356+00:00
11-02-2021,270.813324,276.6266785,267.2433472,270.5533447,270.5533447,64868400,2026-07-29 05:52:48.140356+00:00
12-02-2021,267.0866699,272.4433289,261.7766724,272.0400085,272.0400085,71304900,2026-07-29 05:52:48.140356+00:00
16-02-2021,272.6666565,273.6666565,264.1466675,265.4066772,265.4066772,59406900,2026-07-29 05:52:48.140356+00:00
17-02-2021,259.6966553,266.6133423,254.0033264,266.0499878,266.0499878,77989500,2026-07-29 05:52:48.140356+00:00
18-02-2021,260.2999878,264.8966675,258.7566528,262.4599915,262.4599915,53871300,2026-07-29 05:52:48.140356+00:00
19-02-2021,265.0,265.5966797,259.1233215,260.4333191,260.4333191,56874900,2026-07-29 05:52:48.140356+00:00
22-02-2021,254.2133331,256.1666565,236.7333374,238.1666718,238.1666718,111809100,2026-07-29 05:52:48.140356+00:00
23-02-2021,220.7100067,237.8699951,206.3333282,232.9466705,232.9466705,199820700,2026-07-29 05:52:48.140356+00:00
24-02-2021,237.2833405,248.3333282,231.3899994,247.3399963,247.3399963,110301000,2026-07-29 05:52:48.140356+00:00
25-02-2021,242.0500031,245.7366638,223.5266724,227.406662,227.406662,117071700,2026-07-29 05:52:48.140356+00:00
26-02-2021,233.3333282,235.5666656,219.8366699,225.1666718,225.1666718,123267600,2026-07-29 05:52:48.140356+00:00
01-03-2021,230.0366669,239.6666718,228.3500061,239.4766693,239.4766693,81408600,2026-07-29 05:52:48.140356+00:00
02-03-2021,239.4266663,240.3699951,228.3333282,228.8133392,228.8133392,71196600,2026-07-29 05:52:48.140356+00:00
03-03-2021,229.3300018,233.5666656,217.2366638,217.7333374,217.7333374,90624000,2026-07-29 05:52:48.140356+00:00
04-03-2021,218.6000061,222.8166656,200.0,207.1466675,207.1466675,197758500,2026-07-29 05:52:48.140356+00:00
05-03-2021,208.6866608,209.2799988,179.8300018,199.3166656,199.3166656,268189500,2026-07-29 05:52:48.140356+00:00
08-03-2021,200.1833344,206.7100067,186.2633362,187.6666718,187.6666718,155361000,2026-07-29 05:52:48.140356+00:00
09-03-2021,202.7266693,226.0299988,198.4033356,224.5266724,224.5266724,202569900,2026-07-29 05:52:48.140356+00:00
10-03-2021,233.4333344,239.2833405,218.3533325,222.6866608,222.6866608,181817100,2026-07-29 05:52:48.140356+00:00
11-03-2021,233.1333313,234.1666718,225.7266693,233.1999969,233.1999969,108761700,2026-07-29 05:52:48.140356+00:00
12-03-2021,223.3333282,231.6266632,222.0466614,231.2433319,231.2433319,100751400,2026-07-29 05:52:48.140356+00:00
15-03-2021,231.363327,237.7266693,228.0133362,235.9799957,235.9799957,88006800,2026-07-29 05:52:48.140356+00:00
16-03-2021,234.4499969,235.9733276,223.6666718,225.6266632,225.6266632,96587100,2026-07-29 05:52:48.140356+00:00
17-03-2021,218.956665,234.5766602,217.0033264,233.9366608,233.9366608,121117500,2026-07-29 05:52:48.140356+00:00
18-03-2021,228.0966644,229.7433319,217.3333282,217.7200012,217.7200012,99674400,2026-07-29 05:52:48.140356+00:00
19-03-2021,215.5333405,219.0766602,208.206665,218.2899933,218.2899933,128682000,2026-07-29 05:52:48.140356+00:00
22-03-2021,228.1966705,233.206665,222.9166718,223.3333282,223.3333282,118536600,2026-07-29 05:52:48.140356+00:00
23-03-2021,225.2566681,225.9333344,219.1699982,220.7200012,220.7200012,91475700,2026-07-29 05:52:48.140356+00:00
24-03-2021,222.636673,222.6733398,210.0366669,210.0899963,210.0899963,101385600,2026-07-29 05:52:48.140356+00:00
25-03-2021,204.3333282,215.1666718,203.1666718,213.4633331,213.4633331,117674700,2026-07-29 05:52:48.140356+00:00
26-03-2021,213.956665,214.6066742,199.9633331,206.2366638,206.2366638,101558400,2026-07-29 05:52:48.140356+00:00
29-03-2021,205.2133331,205.4933319,198.6733398,203.7633362,203.7633362,85911000,2026-07-29 05:52:48.140356+00:00
30-03-2021,200.5833282,212.5533295,197.0033264,211.8733368,211.8733368,118297200,2026-07-29 05:52:48.140356+00:00
31-03-2021,215.5399933,224.0,213.7033386,222.6433258,222.6433258,100011900,2026-07-29 05:52:48.140356+00:00
01-04-2021,229.456665,230.8066711,219.8066711,220.5833282,220.5833282,105895200,2026-07-29 05:52:48.140356+00:00
05-04-2021,235.9033356,236.0533295,228.2333374,230.3500061,230.3500061,125528400,2026-07-29 05:52:48.140356+00:00
06-04-2021,230.1000061,232.1833344,227.1233368,230.5399933,230.5399933,84815400,2026-07-29 05:52:48.140356+00:00
07-04-2021,229.0,230.4600067,222.613327,223.656662,223.656662,78928200,2026-07-29 05:52:48.140356+00:00
08-04-2021,225.793335,229.8500061,223.8833313,227.9333344,227.9333344,71772900,2026-07-29 05:52:48.140356+00:00
09-04-2021,225.9233398,226.9900055,223.1433258,225.6733398,225.6733398,64311300,2026-07-29 05:52:48.140356+00:00
12-04-2021,228.5666656,234.9333344,227.363327,233.9933319,233.9933319,87407100,2026-07-29 05:52:48.140356+00:00
13-04-2021,237.5666656,254.3333282,236.886673,254.1066742,254.1066742,133958400,2026-07-29 05:52:48.140356+00:00
14-04-2021,256.8999939,260.2633362,242.6766663,244.0766602,244.0766602,147052200,2026-07-29 05:52:48.140356+00:00
15-04-2021,247.6999969,247.8966675,240.4366608,246.2833405,246.2833405,83546700,2026-07-29 05:52:48.140356+00:00
16-04-2021,242.8833313,249.8033295,241.5333405,246.593338,246.593338,83938500,2026-07-29 05:52:48.140356+00:00
19-04-2021,239.8666687,241.8000031,230.6000061,238.2100067,238.2100067,119058600,2026-07-29 05:52:48.140356+00:00
20-04-2021,239.1399994,245.75,236.8966675,239.6633301,239.6633301,106827000,2026-07-29 05:52:48.140356+00:00
21-04-2021,234.9233398,248.2799988,232.6666718,248.0399933,248.0399933,93646500,2026-07-29 05:52:48.140356+00:00
22-04-2021,247.1666718,251.2566681,239.3466644,239.8966675,239.8966675,106770900,2026-07-29 05:52:48.140356+00:00
23-04-2021,239.9333344,245.7866669,238.4866638,243.1333313,243.1333313,85110000,2026-07-29 05:52:48.140356+00:00
26-04-2021,247.0,249.7666626,244.2033386,246.0666656,246.0666656,93115500,2026-07-29 05:52:48.140356+00:00
27-04-2021,239.3200073,241.3333282,234.4499969,234.9133301,234.9133301,88311000,2026-07-29 05:52:48.140356+00:00
28-04-2021,232.136673,236.1666718,231.1999969,231.4666595,231.4666595,66813000,2026-07-29 05:52:48.140356+00:00
29-04-2021,233.1699982,234.0833282,222.8333282,225.6666718,225.6666718,86536200,2026-07-29 05:52:48.140356+00:00
30-04-2021,222.5299988,238.4900055,222.0466614,236.4799957,236.4799957,122276100,2026-07-29 05:52:48.140356+00:00
03-05-2021,234.6000061,235.3333282,226.8333282,228.3000031,228.3000031,81129300,2026-07-29 05:52:48.140356+00:00
04-05-2021,226.3133392,227.8166656,219.2333374,224.5333405,224.5333405,89217900,2026-07-29 05:52:48.140356+00:00
05-05-2021,227.0200043,228.4333344,222.4466705,223.6466675,223.6466675,65705700,2026-07-29 05:52:48.140356+00:00
06-05-2021,226.9199982,227.0066681,216.6666718,221.1799927,221.1799927,83353800,2026-07-29 05:52:48.140356+00:00
07-05-2021,221.9333344,230.0,220.0733337,224.1233368,224.1233368,70407600,2026-07-29 05:52:48.140356+00:00
10-05-2021,221.6333313,221.6833344,209.2033386,209.6799927,209.6799927,94177200,2026-07-29 05:52:48.140356+00:00
11-05-2021,199.7466736,209.0333405,198.5333405,205.7333374,205.7333374,139511700,2026-07-29 05:52:48.140356+00:00
12-05-2021,200.8300018,206.8033295,195.5899963,196.6300049,196.6300049,101470800,2026-07-29 05:52:48.140356+00:00
13-05-2021,200.5133362,202.1533356,186.5500031,190.5633392,190.5633392,132554700,2026-07-29 05:52:48.140356+00:00
14-05-2021,194.4700012,197.6233368,190.1533356,196.5800018,196.5800018,100112700,2026-07-29 05:52:48.140356+00:00
17-05-2021,191.8500061,196.5766602,187.0666656,192.2766724,192.2766724,97171200,2026-07-29 05:52:48.140356+00:00
18-05-2021,189.3333282,198.75,187.793335,192.6233368,192.6233368,110491800,2026-07-29 05:52:48.140356+00:00
19-05-2021,184.1833344,188.7366638,182.3266602,187.8200073,187.8200073,118735200,2026-07-29 05:52:48.140356+00:00
20-05-2021,191.6666718,196.2833405,190.3566742,195.593338,195.593338,92463300,2026-07-29 05:52:48.140356+00:00
21-05-2021,198.7033386,198.8933258,193.3333282,193.6266632,193.6266632,78091800,2026-07-29 05:52:48.140356+00:00
24-05-2021,193.8666687,204.8266602,191.2166595,202.1466675,202.1466675,103674300,2026-07-29 05:52:48.140356+00:00
25-05-2021,202.4366608,204.6633301,198.5700073,201.5633392,201.5633392,84017700,2026-07-29 05:52:48.140356+00:00
26-05-2021,202.5200043,208.7233276,200.5,206.3766632,206.3766632,85917900,2026-07-29 05:52:48.140356+00:00
27-05-2021,206.7466736,210.3766632,205.4033356,210.2833405,210.2833405,79111800,2026-07-29 05:52:48.140356+00:00
28-05-2021,209.5,211.863327,207.4600067,208.406662,208.406662,68211000,2026-07-29 05:52:48.140356+00:00
01-06-2021,209.2666626,211.2666626,206.8500061,207.9666595,207.9666595,54254700,2026-07-29 05:52:48.140356+00:00
